distance_furlongs,race_type,course,race_length
14,Flat,Tipperary,196.00647
14,Flat,Tralee,206.14
14,Flat,Tramore,187.46136
14,Flat,Wetherby,187.31769
14,Flat,Wexford,183.96818
14,Flat,Wolverhampton,184.79211
14,Flat,Yarmouth,188.39975
14,Flat,York,179.68692
14,NHF,Ayr,211.31917
14,NHF,Carlisle,219.8625
14,NHF,Cheltenham,214.01667
14,NHF,Ffos_Las,217.178
14,NHF,Fontwell,209.90835
14,NHF,Hereford,194.23333
14,NHF,Huntingdon,198.47333
14,NHF,Listowel,213.8
14,NHF,Ludlow,207.37105
14,NHF,Musselburgh,198.9
14,NHF,Newcastle,220.35714
14,NHF,Southwell,202.85
14,NHF,Towcester,205.62577
14,NHF,Warwick,205.07158
14,NHF,Wetherby,232.62857
14,NHF,Wincanton,201.6
15,Chase,Wetherby,238.48205
15,Flat,Ayr,205.994
15,Flat,Doncaster,189.74512
15,Flat,Folkestone,209.49111
15,Flat,Leopardstown,201.67481
15,Flat,Listowel,205.22667
15,Flat,Musselburgh,196.41
15,Flat,Newmarket,190.90257
15,Flat,Punchestown,224.35714
15,Flat,Warwick,201.33904
15,Flat,Wexford,205.3225
15,Flat,Wolverhampton,203.3605
15,Hurdle,Roscommon,243.83333
15,Hurdle,Wincanton,227.21053
15,NHF,Newcastle,232.5525
15,NHF,Punchestown,234.5
15,NHF,Roscommon,258.8
15,NHF,Wincanton,226.95667
16,Chase,Aintree,240.53976
16,Chase,Ascot,238.6875
16,Chase,Ayr,250.615
16,Chase,Ballinrobe,271.025
16,Chase,Carlisle,253.12475
16,Chase,Catterick,242.7713
16,Chase,Cheltenham,243.26895
16,Chase,Chepstow,261.11126
16,Chase,Clonmel,252.425
16,Chase,Cork,249.74225
16,Chase,Doncaster,246.72208
16,Chase,Down_Royal,260.50278
16,Chase,Fairyhouse,259.48182
16,Chase,Fakenham,260.45016
16,Chase,Ffos_Las,244.23434
16,Chase,Folkestone,247.50885
16,Chase,Gowran_Park,254.24615
16,Chase,Haydock,252.93765
16,Chase,Hereford,244.01726
16,Chase,Hexham,253.94037
16,Chase,Huntingdon,250.54138
16,Chase,Kelso,248.1
16,Chase,Kempton,241.08874
16,Chase,Leicester,247.53121
16,Chase,Limerick,241.3
16,Chase,Lingfield,256.03099
16,Chase,Listowel,242.44615
16,Chase,Ludlow,242.43642
16,Chase,Musselburgh,236.71815
16,Chase,Naas,258.04809
16,Chase,Navan,254.735
16,Chase,Newbury,249.49853
16,Chase,Newcastle,260.70815
16,Chase,Newton_Abbot,245.24227
16,Chase,Perth,240.27994
16,Chase,Punchestown,255.27586
16,Chase,Roscommon,241.71132
16,Chase,Sandown,241.89185
16,Chase,Sedgefield,253.95858
16,Chase,Southwell,247.99014
16,Chase,Stratford,241.45
16,Chase,Taunton,254.19389
16,Chase,Thurles,264.67442
16,Chase,Tipperary,261.3
16,Chase,Towcester,252.46
16,Chase,Tralee,250.97368
16,Chase,Tramore,241.4134
16,Chase,Uttoxeter,241.07087
16,Chase,Warwick,243.11706
16,Chase,Wetherby,245.24896
16,Chase,Wexford,245.44667
16,Chase,Wincanton,243.06504
16,Chase,Windsor,253.76667
16,Chase,Worcester,239.35763
16,Flat,Ascot,212.9925
16,Flat,Ballinrobe,240.5325
16,Flat,Beverley,219.46718
16,Flat,Catterick,214.71368
16,Flat,Chelmsford_City,208.63507
16,Flat,Chepstow,221.24271
16,Flat,Chester,211.17204
16,Flat,Clonmel,231.96393
16,Flat,Curragh,214.5593
16,Flat,Doncaster,222.82692
16,Flat,Down_Royal,218.07
16,Flat,Dundalk,210.02483
16,Flat,Fairyhouse,234.475
16,Flat,Ffos_Las,216.5495
16,Flat,Folkestone,222.58412
16,Flat,Galway,224.395
16,Flat,Goodwood,211.47541
16,Flat,Gowran_Park,217.64
16,Flat,Great_Leighs,210.336
16,Flat,Haydock,216.66552
16,Flat,Kempton,210.45832
16,Flat,Leopardstown,213.8887
16,Flat,Limerick,222.35778
16,Flat,Lingfield,206.69505
16,Flat,Listowel,236.17167
16,Flat,Musselburgh,215.16065
16,Flat,Naas,235.71
16,Flat,Navan,219.48235
16,Flat,Newbury,219.59929
16,Flat,Newcastle,218.17718
16,Flat,Newmarket,208.85611
16,Flat,Nottingham,214.66184
16,Flat,Punchestown,236.9
16,Flat,Redcar,212.93565
16,Flat,Ripon,212.61791
16,Flat,Roscommon,217.9
16,Flat,Royal_Ascot,210.058
16,Flat,Sandown,217.884
16,Flat,Southwell,223.93242
16,Flat,TRP_Extras,246.03
16,Flat,Thirsk,211.35902
16,Flat,Thurles,213.17143
16,Flat,Tralee,226.2
16,Flat,Tramore,228.57026
16,Flat,Warwick,214.16238
16,Flat,Wetherby,210.88667
16,Flat,Wexford,219.133
16,Flat,Wolverhampton,224.23179
16,Flat,Yarmouth,213.71955
16,Flat,York,214.64267
16,Hurdle,Aintree,246.47071
16,Hurdle,Ascot,232.83338
16,Hurdle,Ayr,244.86178
16,Hurdle,Ballinrobe,252.23457
16,Hurdle,Catterick,235.52472
16,Hurdle,Cheltenham,240.29686
16,Hurdle,Chepstow,248.78745
16,Hurdle,Clonmel,248.45595
16,Hurdle,Cork,241.23155
16,Hurdle,Doncaster,246.23789
16,Hurdle,Down_Royal,242.18151
16,Hurdle,Downpatrick,223.46667
16,Hurdle,Fairyhouse,249.02494
16,Hurdle,Fakenham,249.50421
16,Hurdle,Ffos_Las,238.60242
16,Hurdle,Galway,237.4463
16,Hurdle,Gowran_Park,241.06373
16,Hurdle,Haydock,238.37202
16,Hurdle,Hereford,245.35054
16,Hurdle,Hexham,260.25316
16,Hurdle,Huntingdon,233.87816
16,Hurdle,Kelso,244.07925
16,Hurdle,Kempton,237.70881
16,Hurdle,Kilbeggan,230.04509
16,Hurdle,Killarney,243.63333
16,Hurdle,Leicester,238.65753
16,Hurdle,Leopardstown,242.64741
16,Hurdle,Limerick,247.63256
16,Hurdle,Lingfield,254.57008
16,Hurdle,Listowel,249.72366
16,Hurdle,Ludlow,231.56814
16,Hurdle,Musselburgh,228.27907
16,Hurdle,Naas,244.04534
16,Hurdle,Navan,251.60212
16,Hurdle,Newbury,247.41134
16,Hurdle,Newcastle,250.65383
16,Hurdle,Perth,240.20472
16,Hurdle,Plumpton,240.50998
16,Hurdle,Punchestown,245.33364
16,Hurdle,Roscommon,231.39276
16,Hurdle,Sandown,248.98173
16,Hurdle,Sligo,249.1899
16,Hurdle,Southwell,242.89957
16,Hurdle,Stratford,236.97397
16,Hurdle,Taunton,252.30716
16,Hurdle,Thurles,249.03018
16,Hurdle,Tipperary,236.65602
16,Hurdle,Towcester,243.49606
16,Hurdle,Tralee,239.72778
16,Hurdle,Tramore,246.55682
16,Hurdle,Uttoxeter,238.65009
16,Hurdle,Warwick,234.50806
16,Hurdle,Wetherby,242.70963
16,Hurdle,Wexford,239.30947
16,Hurdle,Wincanton,228.98528
16,Hurdle,Windsor,249.58333
16,Hurdle,Worcester,228.38081
16,NHF,Ascot,231.85068
16,NHF,Ayr,242.8591
16,NHF,Ballinrobe,252.33667
16,NHF,Catterick,234.31775
16,NHF,Cheltenham,237.95875
16,NHF,Chepstow,247.13303
16,NHF,Clonmel,245.90678
16,NHF,Cork,236.7611
16,NHF,Curragh,236.2125
16,NHF,Doncaster,241.58364
16,NHF,Down_Royal,242.73636
16,NHF,Fairyhouse,248.50766
16,NHF,Fakenham,248.43549
16,NHF,Ffos_Las,239.78216
16,NHF,Galway,234.96632
16,NHF,Gowran_Park,239.62333
16,NHF,Haydock,241.73793
16,NHF,Hereford,250.26769
16,NHF,Hexham,257.31874
16,NHF,Huntingdon,236.95804
16,NHF,Kelso,240.19806
16,NHF,Kempton,232.38904
16,NHF,Kilbeggan,231.14167
16,NHF,Killarney,239.2
16,NHF,Leopardstown,244.26068
16,NHF,Limerick,250.62595
16,NHF,Lingfield,216.09576
16,NHF,Listowel,248.83243
16,NHF,Ludlow,229.14192
16,NHF,Musselburgh,228.401
16,NHF,Naas,242.64535
16,NHF,Navan,249.5677
16,NHF,Newbury,245.04089
16,NHF,Newcastle,246.36278
16,NHF,Perth,240.7333
16,NHF,Punchestown,243.62062
16,NHF,Roscommon,230.07927
16,NHF,Sandown,247.7061
16,NHF,Sligo,252.84314
16,NHF,Southwell,239.45041
16,NHF,Stratford,234.54339
16,NHF,Taunton,246.19348
16,NHF,Thurles,249.31026
16,NHF,Tipperary,231.78
16,NHF,Towcester,243.35992
16,NHF,Tralee,238.35455
16,NHF,Tramore,246.40593
16,NHF,Uttoxeter,239.75956
16,NHF,Warwick,233.51148
16,NHF,Wetherby,242.22298
16,NHF,Wexford,234.60667
16,NHF,Wincanton,230.40507
16,NHF,Windsor,251.2
16,NHF,Wolverhampton,234.67143
16,NHF,Worcester,226.55738
17,Chase,Ascot,253.62397
17,Chase,Ballinrobe,270.01881
17,Chase,Bangor,265.29457
17,Chase,Cartmel,260.41281
17,Chase,Clonmel,261.99524
17,Chase,Cork,263.88372
17,Chase,Downpatrick,262.8
17,Chase,Exeter,267.62423
17,Chase,Fairyhouse,268.48655
17,Chase,Fontwell,284.34459
17,Chase,Galway,280.24648
17,Chase,Gowran_Park,250.775
17,Chase,Haydock,254.5
17,Chase,Kelso,261.98573
17,Chase,Killarney,253.14471
17,Chase,Leopardstown,259.79223
17,Chase,Limerick,275.41449
17,Chase,Listowel,263.85517
17,Chase,Market_Rasen,267.315
17,Chase,Musselburgh,253.875
